,CAPUTLG3311A2S,IPB52300S,IPCONGD,IPDCONGD,IPG211S,IPG311A2S,IPG321S,BOXRSA,CEXRSA,CHXRSA,DNXRSA,LXXRSA,MIXRSA,MNXRSA,NYXRSA,PHXRSA,POXRSA,SDXRSA,SFXRSA,SPCS10RSA,TPXRSA,WDXRSA,FLTOTALSL,NONREVSL,REVOLSL,COREFLEXCPIM159SFRBATL,CORESTICKM157SFRBATL,CORESTICKM158SFRBATL,CORESTICKM159SFRBATL,CORESTICKM679SFRBATL,CPIEALL,CPIEHOUSE,CWSR0000SA0,FLEXCPIM679SFRBATL,IA001176M,IA001260M,MEDCPIM094SFRBCLE,MEDCPIM157SFRBCLE,MEDCPIM158SFRBCLE,MEDCPIM159SFRBCLE,PCEPI,PCEPILFE,PCETRIM12M159SFRBDAL,PCETRIM1M158SFRBDAL,PCETRIM6M680SFRBDAL,STICKCPIM157SFRBATL,STICKCPIM159SFRBATL,STICKCPIXSHLTRM159SFRBATL,TRMMEANCPIM158SFRBCLE,BUSLOANS,CONSUMER,DPSACBM027SBOG,LOANINV,LOANS,REALLN,TLAACBM027SBOG,USGSEC,LNS11300036,LNS11300060,LNS11324230,M2REAL,RMFSL,STDSL,LNS14000001,LNS14000002,LNS14000024,LNS14000031,LNS14024887
1990-01-01,-0.18907392157373248,-0.009795814651994306,-0.01663494956824163,-0.10497713889072013,-0.012825795192330958,0.001509008101380438,-0.01817005692266349,-0.019281120094270854,0.05295369259567373,0.014903459640965622,0.016092754145494936,0.13853801553457323,0.033173253849958506,0.011463872943587639,-0.04166224428112919,-0.014732613907110448,0.10983848040607391,0.16663838298192957,0.15151891406564832,0.05372853121918375,0.0229095102640402,0.0720928191593666,3.10269,0.03620405771722357,0.14007048652864018,2.521465064,0.45515,5.600622374,4.92058886,5.068994982,0.05645101262555219,0.0517356743991888,0.05041718093740588,11.31528504,0.03268264743035765,0.04255961441879608,0.0446412260761182,0.4246200000000089,5.216139934786219,0.07480308644566658,0.04074870178726808,0.03488615917580695,3.85,4.21,-0.09268205739805535,0.44748,0.03313449901761012,-0.06456388319365436,5.911993994909031,0.04747597170224349,0.05307646445226055,0.05828867514720226,0.07223647011971757,0.07714471649904908,0.12407579604719299,0.06816741027670048,0.12793042927779386,-0.7999999999999972,0.29999999999999716,-0.1999999999999993,0.00621947806702039,0.2892453055354789,100.59999999999991,0.0,-0.01869213301215278,0.0,0.01960847138837618,-0.08855339734144518
1990-02-01,0.014573052822171917,-0.014385377898467944,-0.004637135038752405,-0.03551915132276218,-0.015127137804316959,0.01708666355939492,0.033863577024947134,-0.030994119842181256,0.06110821066151573,-0.0044766472892172615,0.01902872074212425,0.1266741427744451,0.03415454986226063,0.013420271347655444,-0.03974078214871035,-0.013642829917321464,0.12125384598941036,0.15235041876744315,0.14188010252756822,0.0474079484099299,0.021445642638445506,0.06463221536797725,1.05832,0.02961388830031808,0.14322073104642907,3.36368828,0.38616,4.733616824,4.935526464,5.064347992,0.056190231746100494,0.04928647051516055,0.05104388672944271,12.587840972,0.0374331743729126,0.04237922296886154,0.044460576109109695,0.405950009999989,4.981650393083201,0.026278709758064345,0.04182429337000393,0.03719008642197785,3.82,3.58,-0.06677387253939049,0.39638,0.030158632737743885,-0.0297602507583814,4.4790000166839095,0.031008366359792205,0.05156678695913541,0.05515821717788949,0.07122122664932728,0.0706109606173877,0.12600630830532822,0.06252469886826262,0.14559727803579126,-0.5,0.3999999999999915,-0.10000000000000142,0.009343783219477153,0.29303298046504267,89.89999999999986,0.0,0.057158413839948796,0.021978906718775004,-0.059423420470800625,0.00938974034983886
1990-03-01,-0.0901877230232353,-0.011561927884376821,2.4869528232329685e-06,-0.0023423547207288564,-0.009815430796989766,0.02349651710289269,0.04180350649220799,-0.04552188167945914,0.06426376425913283,-0.01684345906010254,0.020131497036597334,0.10257083706050896,0.030110288589237477,0.024142968594333958,-0.04105908149908544,-0.01908424314889068,0.1204950864993295,0.13357325557659827,0.1290818713604116,0.03616015678078899,0.01834863163714484,0.054739353879879715,-0.0251,0.020977841823573762,0.13073374819198058,3.436815659,0.63161,7.848237483,5.208700881,6.052735993,0.05584624989364073,0.04977699386958623,0.04922332883784453,11.290363969,0.03731170843735665,0.044264338711228035,0.04463165938122948,0.427349980000002,5.2504678803871,0.018720848918776678,0.041875632705758115,0.03900786302908443,3.95,5.47,0.07320340402329473,0.61921,0.09062316434744244,0.04984459938162766,5.127914717397201,0.03487284807129054,0.04522571644185547,0.053178803114480644,0.07160478112969582,0.07150465344949097,0.12635814113743926,0.0663858625116962,0.14170417522126044,-0.7999999999999972,0.29999999999999716,-0.29999999999999716,0.010495912212255654,0.2685238158174803,80.90000000000009,0.059423420470800625,0.019048194970694432,0.04445176257083361,-0.010256500167189486,0.04831857727080768
1990-04-01,-0.06148528017100219,-0.03769422500160591,-0.0019962626623417634,-0.03235368054964827,-0.03147317131261662,0.014638629432972117,0.02340924397559352,-0.0509823604150883,0.07682509601010601,-0.016819642357234876,0.021990148113436803,0.08229389766227602,0.024144199898140428,0.0217625454638819,-0.04471111947376194,-0.01758724696658831,0.12642335249294234,0.12087980834548961,0.11820679741922557,0.027493937594042173,0.009455260773156837,0.046591757318198646,-0.00108,0.012874961897862747,0.12915626898103483,3.22781191,0.43486,5.344955085,5.294133558,5.967079531,0.051058708625830285,0.04742435471513762,0.04334546907613479,1.735497217,0.03719102832608012,0.044078488956944106,0.04497682669509295,0.432430019999996,5.3143738222831205,0.023976701522300914,0.037336659862758914,0.03862955107559163,3.9,3.85,-0.017178336535084604,0.43219,0.13199086982324526,0.0931366415035324,3.95306410161054,0.03462515116645193,0.03689514130344129,0.05414383530020306,0.06928590465679818,0.0674803185171422,0.12191581395125528,0.06772180451991971,0.14014400886806921,-1.0,0.20000000000000284,-0.3999999999999986,0.017013220722708056,0.25127076873801446,66.0,0.03774032798284721,0.01869213301215278,0.04255961441879608,-0.030459207484708983,0.04609110720026699
1990-05-01,-0.026728954839629893,-0.047274024519904145,0.006120068343512308,-0.003542629695174604,-0.03843414245337318,0.01911237869798388,0.01664128805187204,-0.05970964464332784,0.0681967797095897,-0.007260210116041499,0.018168719949998913,0.05977475718092151,0.026892382089401146,0.022156172304268473,-0.04834715132723222,-0.02190843042995727,0.1324261071802093,0.10683645609987913,0.10262131699301591,0.018413232101345045,0.004524306853066484,0.03647456675202232,1.00403,0.004093750085311321,0.13461038905386502,3.056538173,0.37195,4.555850499,5.183754067,5.907092278,0.04782695141019122,0.04572667961549648,0.04000533461369926,-0.936057992,0.03707112643696053,0.04603323180597485,0.043845143917201845,0.324680000000011,3.96649380723344,-0.03811482617731676,0.03593920826139296,0.03869984741343924,3.8,2.91,-0.05855330875157416,0.38327,0.0842250273274412,0.06934241834708055,3.04159562242827,0.024447957319819302,0.03607940116134323,0.05561095374708902,0.0668313460465022,0.06348993719025575,0.12477252818678686,0.06227559609308564,0.14090612245066492,-0.10000000000000853,0.29999999999999716,-0.1999999999999993,0.018153455498041815,0.22329726740090017,48.200000000000045,0.05826890812397578,0.0,0.04348511193973881,-0.031416196233378546,0.03774032798284699
1990-06-01,-0.0012797820553265282,-0.04722589023462298,0.016616114495158207,0.02227859470575133,-0.03676678054106208,0.016494005003899304,-0.0047824059086121196,-0.06266118627145634,0.0733364619337804,-0.0038490183036117287,0.020265902513032508,0.04701280190438606,0.025991685070554382,0.013067661246411788,-0.049594614609652865,-0.016302164000077113,0.14847137128381682,0.09296343034258658,0.08100796647895958,0.011279226621799587,0.005908003100311809,0.026588718389520594,3.14171,0.00292297617237125,0.13238125778020748,3.21825789,0.59388,7.36400791,5.388456883,5.748349796,0.051370810762923824,0.04845238338594715,0.04303452877352765,1.194417402,0.03858999726986845,0.045841359348241184,0.04525579178656347,0.457319990000005,5.6279993107079,0.009062420100947488,0.03816538627326427,0.039925529905247004,3.94,4.81,-0.0024183808642814775,0.56278,0.1212975982704736,0.059536876244939085,6.557612098119071,0.027281380682437906,0.03235031915239084,0.06228976585288848,0.06829230914073925,0.061943601126595915,0.12368149091039804,0.06907554123893078,0.1546707075898084,-1.5,0.20000000000000284,-0.40000000000000213,0.013879219111593954,0.20303972323859476,37.299999999999955,0.03846628082779602,-0.07410797215372189,0.021506205220963803,-0.010582109330536937,-0.07410797215372167
1990-07-01,-0.06258450217300204,-0.04910042989144525,0.03033657030587733,0.02608572885790128,-0.01853290792383344,0.046097361909556156,0.022963498776419122,-0.06727257410444043,0.071010265430556,0.004734631947212797,0.02395949068435499,0.03324341221548277,0.02519058562159504,0.012298741995448559,-0.048313675955188096,-0.014135123889972512,0.16278326066611148,0.07978636051745713,0.062080598034954804,0.00534315274718189,0.009317290274922563,0.016613426736269865,3.99476,0.000987805883018389,0.14032013239986796,3.425299288,0.59357,7.360037616,5.535071884,6.418361971,0.05260416321851569,0.04804583960957487,0.04445176257083361,2.898351663,0.03689271638036562,0.04574602178820397,0.04485191642933728,0.431500000000007,5.30267168754286,-0.022325920522030307,0.038243619850872435,0.03987480051147951,3.96,4.05,0.052446475372542656,0.5625,0.11516656744385267,0.08299444293343305,5.824750201865751,0.013975941470197206,0.018406532675157905,0.05891058322944076,0.06240537799437984,0.052847557985574056,0.12239734689047399,0.06482524792197353,0.15912310306435629,-1.7000000000000028,0.10000000000000853,-0.40000000000000213,0.0078007952560650295,0.17721260503529201,31.600000000000136,0.11332868530700324,-0.03636764417087468,0.06317890162153184,0.11066556788751925,0.00938974034983886
1990-08-01,0.1266114952406383,-0.06764764947066215,0.016320580425726483,-0.012152267123592075,-0.0071260836819488915,0.03246506370263269,-0.0025563668314836363,-0.06367619746221376,0.06610325467246003,0.0029222286748096238,0.024777212171231966,0.024361848828812427,0.020345191015064046,0.004333053490608307,-0.05501501575896661,-0.010359150148203433,0.17620040170060003,0.06337124510906644,0.04204640326044906,-0.002875551240625107,0.01459942829289318,0.0052022756024490135,1.87107,-0.0011622416129943858,0.14093686206589418,4.060302167,0.66866,8.325687273,5.855903558,7.68228794,0.060533980529266174,0.05455898425043415,0.05295587257713397,9.343912917,0.041606000832463685,0.047677423171504696,0.04709781011331593,0.46029998999999,5.66560606341413,0.07179275339845659,0.04474981501967967,0.04263905541189317,4.14,5.13,0.16103934082244353,0.62743,0.17436988474944348,0.0952870928244498,6.3936470798823,0.008007954753798785,0.018087627694677977,0.05879288952205286,0.06003770785337448,0.04880936108723066,0.11465960763854355,0.06764965195522166,0.15734326882261485,-1.6000000000000085,0.10000000000000853,0.0,-0.0023921031496252354,0.1675896172631237,25.90000000000009,0.1286173778220936,0.03636764417087468,0.08338160893905111,0.07847161544149506,0.053584246134106284
1990-09-01,0.03221456022151603,-0.06597430204427024,0.026840304411714477,-0.008013627500059073,-0.011881750999957141,0.05153064087772741,-0.004430421401436568,-0.062249272256261534,0.06140841064184599,0.010841734298526973,0.024004279378418314,0.012531584150910824,0.018036096211881514,0.00397517144847459,-0.06147548728520302,-0.013273442265104407,0.18798263680592564,0.04955216134109808,0.026067396145769806,-0.010528067682949782,0.00500308192140686,-0.005405436498818084,1.67766,-0.005083224854411483,0.14433732206849204,3.901297306,0.36687,4.492367118,5.948660349,6.713547763,0.06549959761712199,0.05525431078932108,0.05900256144456684,13.335642169,0.03984590854719894,0.04949463760469586,0.046567679660383554,0.231750009999998,2.8167227080654595,0.08920017566413785,0.04864628962778372,0.042658749624677306,4.13,3.34,0.09680755966982835,0.35789,0.21488791653049488,0.12182597962201913,4.11606833063138,0.0035874640917237244,0.013897591246990082,0.05366524275896811,0.057530546539306116,0.04390318576248564,0.10772340918360612,0.06166602135019339,0.16351027894859893,-0.7000000000000028,-0.19999999999998863,0.0,-0.008795630544605082,0.15381267069779359,24.09999999999991,0.08855339734144496,0.109199291964992,0.12260232209233246,0.13976194237515838,0.05264373348542195
1990-10-01,-0.010368228818456338,-0.022037165135659897,0.010860753210154783,-0.023054782055732304,0.03717859919342814,0.033288088651962866,-0.053894846289948894,-0.06582659851277128,0.05642350544217756,0.009321776162642514,0.015927942606788648,0.0012429514645937445,0.013434927649703887,0.0046320334574367905,-0.06929877909961313,-0.011354243388086438,0.1856350751944884,0.0343137928817665,0.006619481390027104,-0.019437313372428378,-0.0033555354234824364,-0.010177367272181215,2.21888,-0.007147735513742148,0.14190633941013786,3.521240643,0.38229,4.685175903,5.817450968,5.81983238,0.06511175130517355,0.05435299971227803,0.06105182011413923,18.035287482,0.041275700332231935,0.05139877405644189,0.046078319159622794,0.3717500000000039,4.55335048443914,0.061453276337742224,0.05045325227548947,0.04242600154058973,4.01,3.7,0.0593722734999691,0.37792,0.16954624684411002,0.16740667137504261,4.3591421976336,-0.0028454048772976748,0.01270181050727448,0.043429820792684204,0.053018491799647904,0.04174642217113078,0.10668532146561915,0.05299059009356455,0.1512568558179055,-0.30000000000001137,-0.09999999999999432,-0.1999999999999993,-0.01623873624189187,0.13769214344155323,23.200000000000045,0.1405819506211894,0.054067221270275745,0.10109611687136866,0.11995931507897906,0.07020425867324853
