DATE,CSUSHPISA,CURRCIR,M2SL,CPIAUCSL,INDPRO,PCE,DSPIC96,TTLHHM156N,TOTALSL,DPSACBW027SBOG,GDPr,MORTGAGE30US,REAINTRATREARAT10Y,UNRATE,CIVPART,SPREAD,PSAVERT,MICH,MSACSR,CPIAUCSL_1,CPIAUCSL_2,CPIAUCSL_3,DSPIC96_1,DSPIC96_2,DSPIC96_3,SPREAD_1,SPREAD_2,SPREAD_3,MORTGAGE30US_1,MORTGAGE30US_2,MORTGAGE30US_3,UNRATE_1,UNRATE_2,UNRATE_3
1994-03-01,2.5546748692248045,10.032466915087479,1.9850328212593027,2.6172292773265937,3.9462580369359124,6.525624168800981,2.0632074190697125,0.8818761008495102,9.118024585510298,0.9689239527303606,3.969990551013858,0.17999999999999972,0.29777812000000026,-0.5,0.29999999999999716,3.1400000000000006,6.7,3.0,-6.018518518518512,2.4845998586530804,2.4214258120593968,2.7721802930272155,1.427718944450973,1.7150499772972339,1.4071860344586185,2.7199999999999998,2.7,2.8099999999999996,-0.5299999999999994,-0.9300000000000006,-1.040000000000001,-0.5,-0.7000000000000002,-0.9000000000000004
1994-04-01,2.6309374553832754,10.049516122883162,2.0312336930757624,2.3368761007829697,4.2371888629707755,6.129117518478822,1.5437456242406,1.0241583957943945,9.448575543441429,0.392099437830673,3.9130219822817836,0.8500000000000005,0.8846658500000002,-0.6999999999999993,0.4000000000000057,3.4099999999999997,6.3,3.0,-3.1545741324921273,2.6172292773265937,2.4845998586530804,2.4214258120593968,2.0632074190697125,1.427718944450973,1.7150499772972339,3.1400000000000006,2.7199999999999998,2.7,0.17999999999999972,-0.5299999999999994,-0.9300000000000006,-0.5,-0.5,-0.7000000000000002
1994-05-01,2.796821210336553,9.95834289775761,1.5561034003706453,2.2626950929026,5.092129415593938,5.436946441647628,2.836087518648611,1.0429501576197708,10.757612577403819,-0.12342306307342454,4.299082915117225,1.13,0.9598564699999996,-1.0,0.19999999999998863,3.17,7.5,3.1,-2.0733652312599715,2.3368761007829697,2.6172292773265937,2.4845998586530804,1.5437456242406,2.0632074190697125,1.427718944450973,3.4099999999999997,3.1400000000000006,2.7199999999999998,0.8500000000000005,0.17999999999999972,-0.5299999999999994,-0.6999999999999993,-0.5,-0.5
1994-06-01,2.7831702064833763,9.964914674974512,1.0719702760514593,2.4641903936928777,5.535966374789147,5.879995866060206,2.864090151323495,1.0589565654711919,11.500371429323941,-0.29392011681528274,4.202497334252797,0.9800000000000004,0.8323281799999998,-0.9000000000000004,-0.09999999999999432,2.8499999999999996,6.8,2.7,0.16051364365969878,2.2626950929026,2.3368761007829697,2.6172292773265937,2.836087518648611,1.5437456242406,2.0632074190697125,3.17,3.4099999999999997,3.1400000000000006,1.13,0.8500000000000005,0.17999999999999972,-1.0,-0.6999999999999993,-0.5
1994-07-01,2.7589889382733546,10.13474874666942,1.3333146063084556,2.6631823180792935,5.40342450659983,5.479361683223516,2.7015675669591843,0.820549833321671,11.55583036632537,0.1240517934246732,4.478234634825284,1.3999999999999995,1.1946206200000002,-0.8000000000000007,0.0,3.04,6.9,2.9,1.7656500802568198,2.4641903936928777,2.2626950929026,2.3368761007829697,2.864090151323495,2.836087518648611,1.5437456242406,2.8499999999999996,3.17,3.4099999999999997,0.9800000000000004,1.13,0.8500000000000005,-0.9000000000000004,-1.0,-0.6999999999999993
1994-08-01,2.756297617113024,9.897388961688147,1.1541808016692912,2.859282599384283,6.178740518381165,6.092518560548754,2.67625032609633,0.763854210349102,12.446084752450393,0.1859636118644481,4.74318551742261,1.3999999999999995,0.8773809799999999,-0.7999999999999998,0.19999999999998863,2.7700000000000005,6.4,3.1,2.2364217252396124,2.6631823180792935,2.4641903936928777,2.2626950929026,2.7015675669591843,2.864090151323495,2.836087518648611,3.04,2.8499999999999996,3.17,1.3999999999999995,0.9800000000000004,1.13,-0.8000000000000007,-0.9000000000000004,-1.0
1994-09-01,2.693645998257743,9.746022559029832,0.9771923889202228,2.9223962124570235,5.956954884049548,5.67642814802749,3.38538348188262,0.9682635404823614,13.007632329165641,-0.14662648870187311,3.5197593585293063,1.7200000000000006,1.1865238100000002,-0.7999999999999998,0.3999999999999915,2.7299999999999995,6.7,3.4,4.159999999999986,2.859282599384283,2.6631823180792935,2.4641903936928777,2.67625032609633,2.7015675669591843,2.864090151323495,2.7700000000000005,3.04,2.8499999999999996,1.3999999999999995,1.3999999999999995,0.9800000000000004,-0.7999999999999998,-0.8000000000000007,-0.9000000000000004
1994-10-01,2.6873844428418003,9.566509269418066,0.7952786476737472,2.5764136936131443,6.036614788473482,5.9959962948887835,4.8186562912881925,0.9701749635215862,13.328772832734348,0.4582034158949533,4.487620987903362,2.0999999999999996,1.55777988,-1.0,0.4000000000000057,2.9800000000000004,7.0,3.0,5.288461538461542,2.9223962124570235,2.859282599384283,2.6631823180792935,3.38538348188262,2.67625032609633,2.7015675669591843,2.7299999999999995,2.7700000000000005,3.04,1.7200000000000006,1.3999999999999995,1.3999999999999995,-0.7999999999999998,-0.7999999999999998,-0.8000000000000007
1994-11-01,2.528261817525479,10.040943489077492,0.4915709954715908,2.569444937478327,6.236786379995607,5.790715327337459,4.53557216612257,1.1387657290510944,13.612506692056137,0.17235028451043632,3.42949484120485,2.01,1.5409574200000002,-1.0,0.4000000000000057,2.67,6.9,3.2,8.737864077669899,2.5764136936131443,2.9223962124570235,2.859282599384283,4.8186562912881925,3.38538348188262,2.67625032609633,2.9800000000000004,2.7299999999999995,2.7700000000000005,2.0999999999999996,1.7200000000000006,1.3999999999999995,-1.0,-0.7999999999999998,-0.7999999999999998
1994-12-01,2.485265628201816,9.625483681729374,0.34191014359734595,2.5642430613337375,6.6561238863472205,5.74913684506182,1.6360999365094386,1.2573700634927576,14.157203227540816,-0.24446971404827877,4.189493832607383,2.0299999999999994,1.3968366000000003,-1.0,0.29999999999999716,2.3599999999999994,7.0,3.0,13.05057096247959,2.569444937478327,2.5764136936131443,2.9223962124570235,4.53557216612257,4.8186562912881925,3.38538348188262,2.67,2.9800000000000004,2.7299999999999995,2.01,2.0999999999999996,1.7200000000000006,-1.0,-1.0,-0.7999999999999998
