DATE,CSUSHPISA,CURRCIR,PCE,DSPIC96,TTLHHM156N,DPSACBW027SBOG,GDPr,MORTGAGE30US,REAINTRATREARAT10Y,SPREAD,PSAVERT,MICH,CPIAUCSL_1,CPIAUCSL_2,CPIAUCSL_3,DSPIC96_1,DSPIC96_2,DSPIC96_3,SPREAD_1,SPREAD_2,SPREAD_3,MORTGAGE30US_1,MORTGAGE30US_2,MORTGAGE30US_3,UNRATE_1,UNRATE_2,UNRATE_3,CAPUTLG3311A2S,INDPRO,IPB52300S,IPCONGD,IPDCONGD,IPG211S,IPG311A2S,IPG321S,BOXRSA,CEXRSA,CHXRSA,DNXRSA,LXXRSA,MIXRSA,MNXRSA,NYXRSA,PHXRSA,POXRSA,SDXRSA,SFXRSA,SPCS10RSA,TPXRSA,WDXRSA,FLTOTALSL,NONREVSL,REVOLSL,TOTALSL,COREFLEXCPIM159SFRBATL,CORESTICKM157SFRBATL,CORESTICKM158SFRBATL,CORESTICKM159SFRBATL,CORESTICKM679SFRBATL,CPIAUCSL,CPIEALL,CPIEHOUSE,CWSR0000SA0,FLEXCPIM679SFRBATL,IA001176M,IA001260M,MEDCPIM094SFRBCLE,MEDCPIM157SFRBCLE,MEDCPIM158SFRBCLE,MEDCPIM159SFRBCLE,PCEPI,PCEPILFE,PCETRIM12M159SFRBDAL,PCETRIM1M158SFRBDAL,PCETRIM6M680SFRBDAL,STICKCPIM157SFRBATL,STICKCPIM159SFRBATL,STICKCPIXSHLTRM159SFRBATL,TRMMEANCPIM158SFRBCLE,MSACSR,BUSLOANS,CONSUMER,DPSACBM027SBOG,LOANINV,LOANS,REALLN,TLAACBM027SBOG,USGSEC,CIVPART,LNS11300036,LNS11300060,LNS11324230,M2REAL,M2SL,RMFSL,STDSL,LNS14000001,LNS14000002,LNS14000024,LNS14000031,LNS14024887,UNRATE
1994-03-01,2.5546748692248045,10.032466915087479,6.525624168800981,2.0632074190697125,0.8818761008495102,0.9689239527303606,3.969990551013858,0.17999999999999972,0.29777812000000026,3.1400000000000006,6.7,3.0,2.4845998586530804,2.4214258120593968,2.7721802930272155,1.427718944450973,1.7150499772972339,1.4071860344586185,2.7199999999999998,2.7,2.8099999999999996,-0.5299999999999994,-0.9300000000000006,-1.040000000000001,-0.5,-0.7000000000000002,-0.9000000000000004,0.06948307887518901,0.039462580369359124,-0.05475109934342459,0.031452153634580426,0.06789827742171184,-0.0009679037273082614,0.023177437754317687,0.02670723936124908,0.039998215910882706,0.05440551738639243,0.049454631832758444,0.11570540011341457,-0.07902558893289502,0.06242139115558132,0.06632614470492815,0.01633969080970843,0.05854823233363682,0.09230461526779976,-0.03460398151991306,-0.010985549634769498,-0.002450683217303684,0.022448317851579525,-0.0014902830352667706,10.9803,0.07781631684938528,0.11552045491551599,0.09118024585510298,0.66342934,0.30106,3.673144906,3.578833286,3.342895143,0.026172292773265937,0.028685147998857907,0.028929027116733508,0.023134575401656754,0.115850369,0.02289084212890291,0.03243527575315408,0.028579556613217427,0.179430000000003,2.17453638595826,0.09562369672430326,0.021089227394350374,0.023689771122404224,2.41,2.94,-0.09641372966802009,0.28035,0.06041727957998466,0.004786235423768881,2.5726454720435403,-0.1177830356563836,0.005946518239487553,0.09208227037915417,0.008956970118979335,0.052608776373604726,0.0448132167256432,0.046135915009172024,0.06010334193131328,0.0845149269314387,0.004521484718845947,0.20000000000003126,0.799999999999983,1.899999999999995,-0.006320334527136318,0.019850328212593027,0.013625373860008061,71.69999999999982,-0.14310084364067333,0.0,-0.08269171584511326,-0.24387944979338805,-0.037457562534900735,-0.07410797215372189
1994-04-01,2.6309374553832754,10.049516122883162,6.129117518478822,1.5437456242406,1.0241583957943945,0.392099437830673,3.9130219822817836,0.8500000000000005,0.8846658500000002,3.4099999999999997,6.3,3.0,2.6172292773265937,2.4845998586530804,2.4214258120593968,2.0632074190697125,1.427718944450973,1.7150499772972339,3.1400000000000006,2.7199999999999998,2.7,0.17999999999999972,-0.5299999999999994,-0.9300000000000006,-0.5,-0.5,-0.7000000000000002,0.12954505371997893,0.042371888629707755,-0.051603790460847954,0.03347025407253135,0.07623702226270268,-0.00557154012360872,0.025631022367661238,0.044914373323631906,0.05000090710670957,0.053916174281423146,0.04958915904333061,0.1217902279139853,-0.07141796920538201,0.05738074867279863,0.05986224324296163,0.019858576981271803,0.06296611788717321,0.08869131199463354,-0.025219511788550086,-0.008458280166047771,0.002334508284923764,0.017019477845692244,0.0060510401655990975,9.65637,0.07795205487807966,0.12447457035719989,0.09448575543441429,0.445517429,0.19284,2.338782048,3.364064138,3.282103806,0.023368761007829697,0.02602619248546567,0.02557339903999445,0.021686754090014304,0.83340875,0.01997213318691493,0.030550444198425453,0.027303516386413484,0.207179989999995,2.5146859806895803,-0.0018412049614682235,0.01961087108589421,0.022287009799176083,2.3,1.82,-0.14367292603613846,0.19116,-0.021215683533273744,0.01149616426838218,1.90767935702421,0.10109611687136866,0.025063059986436542,0.10328301479738311,0.0035025548494092007,0.05541779206354569,0.050373137688145775,0.04685802203872935,0.05968025167144475,0.08129281422421375,0.006033200804167471,0.7999999999999687,1.0,1.8000000000000043,-0.003081926742286356,0.020312336930757624,0.042363343564387534,44.399999999999864,-0.14518200984449803,-0.061557892999433594,-0.13353139262452274,-0.2384110234449981,-0.036904556935450916,-0.10379679368164352
1994-05-01,2.796821210336553,9.95834289775761,5.436946441647628,2.836087518648611,1.0429501576197708,-0.12342306307342454,4.299082915117225,1.13,0.9598564699999996,3.17,7.5,3.1,2.3368761007829697,2.6172292773265937,2.4845998586530804,1.5437456242406,2.0632074190697125,1.427718944450973,3.4099999999999997,3.1400000000000006,2.7199999999999998,0.8500000000000005,0.17999999999999972,-0.5299999999999994,-0.6999999999999993,-0.5,-0.5,0.13368168977049777,0.05092129415593938,-0.05701166130242097,0.046332458223296236,0.07759944463767088,0.011967472431786419,0.029307457442161677,0.06607989943466919,0.046648386675480324,0.05342690123605198,0.04930678818832934,0.12218331660797599,-0.067795267550955,0.04943666342501185,0.05387106210775805,0.02367361579003635,0.06233949169663955,0.09023933939917939,-0.017345024610974313,-0.0033203306782905173,0.0055217480133311625,0.016733028529586136,0.014667303524153574,11.87418,0.09419529988845543,0.13176117612524774,0.10757612577403819,0.945100876,0.1889,2.290499843,3.238103819,2.765484144,0.022626950929026002,0.024692612590371255,0.026219989452034298,0.02093586585358942,1.195392007,0.019915309700941464,0.026859269050268253,0.0272438605447336,0.238659999999991,2.90181334741006,-0.009243810767908922,0.017979178478806368,0.02113218416520457,2.27,2.69,-0.12195840706686412,0.18175,-0.08952704469399198,-0.11292514606595372,2.90969774225236,0.0,0.02819134630954867,0.10564759513882915,-0.0002871556306649481,0.0509771960287031,0.0477339418873699,0.04528935034865711,0.05596083838837984,0.06666788611002161,0.0030075210639548544,-1.2000000000000028,1.099999999999966,1.7000000000000028,-0.007073713706247098,0.015561034003706453,0.048068403041022556,22.899999999999864,-0.17958557697508004,-0.1251631429540061,-0.17284281283941083,-0.19530875232076594,-0.12751332029895934,-0.15180601286800433
1994-06-01,2.7831702064833763,9.964914674974512,5.879995866060206,2.864090151323495,1.0589565654711919,-0.29392011681528274,4.202497334252797,0.9800000000000004,0.8323281799999998,2.8499999999999996,6.8,2.7,2.2626950929026,2.3368761007829697,2.6172292773265937,2.836087518648611,1.5437456242406,2.0632074190697125,3.17,3.4099999999999997,3.1400000000000006,1.13,0.8500000000000005,0.17999999999999972,-1.0,-0.6999999999999993,-0.5,0.03206832650165836,0.055359663747891474,-0.06109740874987324,0.051530145893335266,0.09568519855965807,0.0046713316900302004,0.028407977761260916,0.0801902217267525,0.04475977204184112,0.052371240382666606,0.042084601153582035,0.12011489674187992,-0.06328026466950831,0.04729574759217936,0.050841949714799384,0.022387001673688012,0.06401164931375813,0.08619069882857211,-0.0081603809510149,0.0020648263228144614,0.006676823668096965,0.02012979747295862,0.01612935473164967,11.35232,0.09892673503759397,0.14394373891138645,0.11500371429323941,1.580747553,0.25957,3.159695559,3.207540833,2.595551939,0.024641903936928777,0.02658179199984545,0.024725616435321562,0.02297351297497663,2.645357645,0.021292500651451718,0.02681125745065671,0.027524731553390858,0.238090009999992,2.8947919642116497,0.05421268355833497,0.020072762765477314,0.022398641346245363,2.34,2.53,-0.051701374376890374,0.24781,-0.11028440273796081,-0.12525151582970695,3.23664435357045,0.17589066646366436,0.03136387853948541,0.1082200933097539,-0.003936257313029934,0.04941793471604683,0.04848070207408828,0.04587577849129332,0.048811322079368225,0.055755342333672075,-0.001504891179419765,0.29999999999998295,0.4000000000000341,0.8999999999999986,-0.013929565484132489,0.010719702760514593,0.03389181358171811,22.39999999999975,-0.19319122903085884,-0.09381875521765504,-0.15415067982725805,-0.23901690047049984,-0.09969936022308801,-0.13762137787604778
1994-07-01,2.7589889382733546,10.13474874666942,5.479361683223516,2.7015675669591843,0.820549833321671,0.1240517934246732,4.478234634825284,1.3999999999999995,1.1946206200000002,3.04,6.9,2.9,2.4641903936928777,2.2626950929026,2.3368761007829697,2.864090151323495,2.836087518648611,1.5437456242406,2.8499999999999996,3.17,3.4099999999999997,0.9800000000000004,1.13,0.8500000000000005,-0.9000000000000004,-1.0,-0.6999999999999993,0.07955035039124958,0.0540342450659983,-0.07862465129982343,0.038557884797131514,0.0996223217843708,0.011763354561055372,0.021304892971889977,0.07524492026747165,0.03957303206011975,0.05029936820805592,0.0393319124685263,0.11477485600256543,-0.05297527060658869,0.04598074426711474,0.043609236315649724,0.024902485231786287,0.06478359108131926,0.08943952650224585,0.0008945758633238654,0.010539368341863309,0.010129482378535393,0.029249150789802947,0.015227221516386003,6.91872,0.0993336744548321,0.14441664602745075,0.1155583036632537,1.480862221,0.18646,2.260609659,3.245680943,2.569422443,0.026631823180792935,0.029100016486441227,0.025317807984290397,0.026390420425685512,5.291916678,0.021262317651923546,0.026763417198816697,0.027836048236758337,0.170840000000005,2.0694530806578504,0.06846985694730856,0.021621642052210177,0.02242661014862879,2.35,2.4,-0.01188132788675278,0.17374,-0.06334021589442806,-0.07964697733776993,2.64636587699298,0.17284281283941083,0.04747241292865034,0.11467026983519357,0.0009164458412085352,0.05268910287922868,0.05684090075220105,0.05073147146431545,0.05242668666870465,0.04814886497029036,0.0,1.1999999999999886,0.7999999999999972,2.399999999999995,-0.013312399451059775,0.013333146063084556,0.04706751085798544,23.29999999999984,-0.13353139262452274,-0.09684982598991754,-0.13815033848081715,-0.13720112151348518,-0.054915757596114556,-0.12323264042394833
1994-08-01,2.756297617113024,9.897388961688147,6.092518560548754,2.67625032609633,0.763854210349102,0.1859636118644481,4.74318551742261,1.3999999999999995,0.8773809799999999,2.7700000000000005,6.4,3.1,2.6631823180792935,2.4641903936928777,2.2626950929026,2.7015675669591843,2.864090151323495,2.836087518648611,3.04,2.8499999999999996,3.17,1.3999999999999995,0.9800000000000004,1.13,-0.8000000000000007,-0.9000000000000004,-1.0,-0.04010670713878728,0.06178740518381165,-0.0734374248797387,0.05284245534267562,0.12706743861121517,0.006648986948850855,0.03682721911700426,0.05934283467970225,0.0381291457432793,0.05167952085088867,0.041414623728247335,0.10761703279652401,-0.039429601699912276,0.047273690402672486,0.040749249580668945,0.026733032456653483,0.06807893911873109,0.0956451301543062,9.092876306215913e-05,0.010860263105766599,0.013588872831471477,0.028723545085112434,0.012905054648680192,13.66842,0.10433365703130537,0.16000424488680398,0.12446084752450393,1.221270856,0.37703,4.619369232,3.318864731,3.341995224,0.02859282599384283,0.0302955815332675,0.026561986566697726,0.028385429479246937,7.075277042,0.021232220105774857,0.024912320379896435,0.02863665910177371,0.288600009999995,3.5187037719115697,0.08425602229553752,0.022215717446407268,0.02167848347318202,2.34,1.81,-0.008438868645864628,0.35253,-0.06634176848413298,-0.1669952830087138,3.56949962685633,0.10354067894084018,0.05686453945848591,0.12279211680290913,0.0008432889209988303,0.05357937745307506,0.062198459606124246,0.05393018218744139,0.05297863951985171,0.03655857246737604,0.0030075210639548544,2.0999999999999943,0.799999999999983,1.000000000000007,-0.017037920097144443,0.011541808016692912,0.050140147499666554,17.200000000000045,-0.15180601286800433,-0.0645385211375713,-0.12188981760903661,-0.11886120287672908,-0.03922071315328113,-0.1251631429540061
1994-09-01,2.693645998257743,9.746022559029832,5.67642814802749,3.38538348188262,0.9682635404823614,-0.14662648870187311,3.5197593585293063,1.7200000000000006,1.1865238100000002,2.7299999999999995,6.7,3.4,2.859282599384283,2.6631823180792935,2.4641903936928777,2.67625032609633,2.7015675669591843,2.864090151323495,2.7700000000000005,3.04,2.8499999999999996,1.3999999999999995,1.3999999999999995,0.9800000000000004,-0.7999999999999998,-0.8000000000000007,-0.9000000000000004,0.033437189339851514,0.05956954884049548,-0.07120416834421395,0.04382354476626826,0.1096621360424459,0.0047126861417572385,0.04561008670336797,0.07670635035947182,0.03863516788566024,0.04764166091127908,0.04231772688889013,0.10073816724476359,-0.03358856704057889,0.04522229559038937,0.032723219492842404,0.026898411071690553,0.06695117850823973,0.09631885611527924,-0.007640915330433984,0.010589368763536555,0.014389567474693443,0.020612187378503677,0.014090098705922038,12.57244,0.11530347501186089,0.15623215561960802,0.13007632329165641,2.078538727,0.22359,2.716322196,3.267212367,3.193730318,0.029223962124570235,0.030910381033976364,0.025267301658361774,0.02972911647171017,5.332972291,0.02120220765060221,0.023071120901311915,0.029779505239613258,0.307020010000003,3.74709367119364,0.10934033254615905,0.022282764515665576,0.021690373525735218,2.32,1.74,-0.08004270767353627,0.2185,-0.11180187912733275,-0.21671797682689142,2.5787870325594,0.20252426411147395,0.06531996337232115,0.1319447858070184,-0.0005056259161895227,0.05548360801839802,0.06730616111530363,0.05807554056874764,0.05188533218917257,0.027564633417552997,0.006024114603381037,2.2999999999999687,0.7999999999999545,0.9999999999999964,-0.019424674535774678,0.009771923889202228,0.049758646465060785,12.900000000000205,-0.1880522315029396,-0.08134563945395246,-0.15963014559188382,-0.2082970431972151,-0.04049136135473663,-0.12715517548524669
1994-10-01,2.6873844428418003,9.566509269418066,5.9959962948887835,4.8186562912881925,0.9701749635215862,0.4582034158949533,4.487620987903362,2.0999999999999996,1.55777988,2.9800000000000004,7.0,3.0,2.9223962124570235,2.859282599384283,2.6631823180792935,3.38538348188262,2.67625032609633,2.7015675669591843,2.7299999999999995,2.7700000000000005,3.04,1.7200000000000006,1.3999999999999995,1.3999999999999995,-0.7999999999999998,-0.7999999999999998,-0.8000000000000007,0.06501753816844946,0.06036614788473482,-0.06354460581436872,0.04899600033610785,0.09708925189992712,-0.0066291871862835805,0.0623360054002573,0.0629761463656866,0.04120520735295852,0.04660911081324581,0.04389341412341885,0.09424946616871832,-0.02369143611343727,0.043154869356544445,0.03083278295763492,0.02509112214203224,0.06770767846484294,0.09102291097133364,-0.007099294398966727,0.015181031732751649,0.01684946488305794,0.013503288873375041,0.01581771385304176,11.09311,0.12019270503425616,0.15656092003556754,0.13328772832734348,2.012951907,0.21387,2.596844903,3.178740091,3.306707706,0.025764136936131443,0.028913032328440558,0.025940929167836302,0.02550982865328688,2.418974491,0.02114243657380932,0.02832047678745564,0.028582017366866275,0.18317000000001,2.22031958593512,0.07025754764698033,0.020837867631303908,0.022403833109036597,2.26,2.02,-0.03571808260207909,0.20401,-0.08101828615522222,-0.23245822785435233,1.71493366984994,0.11332868530700324,0.07846779921166469,0.13875295178847225,0.00393839932243889,0.05779351522455922,0.0743596545757379,0.059797355115939865,0.05974504740938258,0.017253283345241677,0.006015055729761798,-0.19999999999998863,0.09999999999999432,0.7000000000000028,-0.017806390195389987,0.007952786476737472,0.05476500931059114,8.39999999999975,-0.17366349405084014,-0.13133600206108675,-0.1790482314489854,-0.11663690372576108,-0.08004270767353638,-0.15906469462968742
1994-11-01,2.528261817525479,10.040943489077492,5.790715327337459,4.53557216612257,1.1387657290510944,0.17235028451043632,3.42949484120485,2.01,1.5409574200000002,2.67,6.9,3.2,2.5764136936131443,2.9223962124570235,2.859282599384283,4.8186562912881925,3.38538348188262,2.67625032609633,2.9800000000000004,2.7299999999999995,2.7700000000000005,2.0999999999999996,1.7200000000000006,1.3999999999999995,-1.0,-0.7999999999999998,-0.7999999999999998,0.038330419166472396,0.06236786379995607,-0.04997852622339938,0.04849197044396636,0.08697073242542253,0.002890788541347611,0.06129567594726115,0.05279935589421747,0.03803745312018947,0.043728558644362536,0.04108830682039155,0.0895382054033318,-0.022775950214710683,0.04781337720614243,0.027192535135046825,0.02117116206509273,0.0645958581017183,0.08166085010175017,-0.011481117185324408,0.019682142854465567,0.016089977082748952,0.01655061250839207,0.018233566710381233,12.9574,0.11799160101601647,0.1678536455654358,0.13612506692056137,1.613925044,0.30664,3.742377258,3.142092625,3.01723456,0.025694449374783268,0.028243212313395105,0.02597548640326064,0.026833395303064833,0.289232648,0.02111267723755894,0.026479923164467678,0.029187727998562174,0.358840009999994,4.39209057745666,0.0805683160908437,0.020843678053323877,0.02165871741387715,2.28,2.6,0.013857034661426293,0.30582,-0.08813656548083926,-0.2592601348861542,3.4778356924421296,0.27193371548364165,0.08899534542957177,0.1358708143463847,-0.00038996997416607115,0.057259461399732814,0.07834739132142943,0.06162735597204261,0.05855464725240367,0.0006693171171132661,0.006015055729761798,2.3999999999999773,-0.09999999999999432,1.9000000000000021,-0.020788471546135945,0.004915709954715908,0.055972569111603754,5.300000000000068,-0.17934092865581697,-0.14903557916048782,-0.16551443847757352,-0.2314423541289048,-0.12361395596717673,-0.1643030512912762
1994-12-01,2.485265628201816,9.625483681729374,5.74913684506182,1.6360999365094386,1.2573700634927576,-0.24446971404827877,4.189493832607383,2.0299999999999994,1.3968366000000003,2.3599999999999994,7.0,3.0,2.569444937478327,2.5764136936131443,2.9223962124570235,4.53557216612257,4.8186562912881925,3.38538348188262,2.67,2.9800000000000004,2.7299999999999995,2.01,2.0999999999999996,1.7200000000000006,-1.0,-1.0,-0.7999999999999998,0.05874861191210279,0.0665612388634722,-0.038822135219514387,0.053657811014132584,0.09133151706542186,0.01664742438857214,0.055811391459234194,0.09550434812188513,0.03346014850897561,0.038672656986336484,0.03422645196304952,0.08218394372028826,-0.01530204753531983,0.04862510258473396,0.023446252794593114,0.021722358991031143,0.06587415563056265,0.07706127437641275,-0.008991809802096462,0.02491051305883385,0.017041401715901294,0.028628276842126432,0.012440443712057103,15.87563,0.12816038889919934,0.16518103194503553,0.14157203227540816,1.718533221,0.10559,1.274464465,2.915659975,2.532934113,0.025642430613337375,0.026941975955423025,0.021964277318068604,0.026778119081392937,1.875421655,0.02111267723755894,0.026479923164467678,0.027879403520714163,0.10078,1.21608593151488,0.005680523224738776,0.021257013955644943,0.021546625766509564,2.25,1.72,-0.0796674027338714,0.11009,-0.18940747425125815,-0.29968707312550324,0.799716354119062,0.38299225225610556,0.09803572803517735,0.14026659041812728,-0.0002675447667357389,0.05861623343763078,0.08347835713371499,0.06176884254534443,0.059894389970384765,-0.011889834430450996,0.004507896439189807,2.799999999999983,-0.29999999999996874,0.8999999999999986,-0.022225029237560534,0.0034191014359734595,0.06413896427713173,11.10000000000025,-0.18232155679395445,-0.151549898127201,-0.20633643299782856,-0.22555029134477467,-0.08338160893905133,-0.16705408466316607
